Judul,Penulis,Abstrak,SDGs
Sentiment Analysis on Indonesia-English Code-Mixed Data,"[{""Penulis"":""Utomo, Hilal Ramadhan""},{""Penulis"":""Romadhony, Ade""}]","Social media users nowadays tend to use code-mixed language to express their opinion. The users of social media has exponentially risen in some countries like Indonesia, it has given rise to large volumes of code-mixed data, in which users use more than one language in a single text. Data with code-mixed is often noisy and most importantly, the monolingual model usually does not work well on it. This has been a challenge for Natural Language Processing (NLP) for processing and analyzing the data. In this work, we conduct experiment of sentiment analysis on English-Indonesian code-mixed data. The approach that is by utilizing a multilingual pre-trained model, mBERT. By analyzing the sentiment analysis models' predictions, we may assess how effectively the model can adjust to the implicit noises inherent in code-mixed data. The classification model's performance was tested using batch size and epochs parameters to discover and obtain the highest accuracy. The experimental result shows that the highest accuracy we obtained from the mBERT model that is trained with our dataset obtained was 76%, with 16 batch size and epochs used 7. © 2023 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Integrated Reporting Implementation in the Health Sector Industry,"[{""Penulis"":""Hapsari, Dini Wahjoe""},{""Penulis"":""Khairunnisa, Khalisha Azzahra""}]","Integrated reporting is an organization's process of communicating information to stakeholders about value creation from time to time. This report provides material details on an organization's strategy, governance and compensation, achievement, risk, and prospects, as well as the business, social, and environmental context in which it operates. The output of integrated reporting is an integrated report which is the main report of the organization. This study aims to determine the extent to of health sector companies listed on IDX respond to integrated reporting as a future corporate reporting trend. The information was gleaned from annual reports of health firms determined using purposive sampling of 60. To test the hypothesis developed using Partial Least Square-Structural Equation Modelling (PLS-SEM). The findings showed that institutional ownership, managerial ownership, and gender diversity are positively related to integrated reporting. This research can be helpful for policymakers and other regulators for impactful frameworks on integrated reporting. © 2023, University of Wollongong. All rights reserved.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Ensuring Compliance and Reliability in EV Charging Station Management Systems: A Novel Testing Tool for OCPP 1.6 Messages Conformance,"[{""Penulis"":""Priyasta, Dwidharma""},{""Penulis"":""Hadiyanto""},{""Penulis"":""Septiawan, Reza""},{""Penulis"":""Herminawan, Fito""},{""Penulis"":""Bayu, Himawan""}]","The Open Charge Point Protocol (OCPP) has been considered the de-facto standard for communication between charge points and the central management system of the charge points. This paper presents a novel messages testing tool based on OCPP 1.6 to evaluate the conformance of the central system to the field category definitions specified by OCPP. The authors propose the test method, discuss the test case scenarios (positive and negative) used by the messages testing tool, and describe how to set up a test case to examine the system under test. Additionally, this study highlights the difference between the messages testing tool and the OCPP 1.6 Compliance Testing Tool (OCTT) provided by the Open Charge Alliance (OCA). To test its reliability, the message testing tool has been applied to an open-source central system platform. The result shows that the system under test is able to pass 100% of the positive test case scenarios, but only 33% of the negative test case scenarios. It is worth noting that similar results may occur in other central system platforms as well. The study's findings underscore the significance of using comprehensive messages testing tools during the development and release of central system platforms. This ensures conformance to the OCPP field category definitions and promotes reliable interoperability between charge points and central management systems. © 2023 Lavoisier. All rights reserved.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ARTEFACT SEGMENTATION IN MICROSCOPY IMAGES FOR AUTOMATIC ACID-FAST BACILLI QUANTIFICATION,"[{""Penulis"":""Aulia, Suci""},{""Penulis"":""Mengko, Tati""},{""Penulis"":""Suksmono, Andriyan Bayu""},{""Penulis"":""Alisjahbana, Bachti""}]","As revealed from the Global Tuberculosis (TB) Control Report of 2020, from 2013 to 2019, there was an increase of 69% in TB cases from 331,703 to an expected total of 845,000 cases in Indonesia. Conventional Microscopy (CM) and Fluorescence Microscopy (FM) are the two major sputum smears microscopy techniques used to diagnose tuberculosis. FM is a more costly diagnostic approach in view of the high price of the microscopy machine and its maintenance. For this, CM in developing countries might become a more suitable application. This study presents a new method for Acid-Fast Bacilli (AFB) quantification based on color space RGB channels in conventional microscopy images. Artefact subtraction into host image was proposed to identify the AFB using some thresholding methods. The experimental results have been confirmed by pathologists and specialists from the Medical Faculty of Padjadjaran University. The system performance has succeeded in increasing the average accuracy rate of the reference by 10.56% for a total of 228 test images on the dataset of the Public Health Laboratory in Morelia (PHLM). ©2023 ICIC International.","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
The Taxonomy of Blockchain-based Technology in the Financial Industry,"[{""Penulis"":""37538383""},{""Penulis"":""""},{""Penulis"":""37538383""},{""Penulis"":""Alamsyah, Andry""},{""Penulis"":""Syahrir, Syahputra""}]","The decentralized approach of blockchain technology has resulted in innovations across various industries, including finance which is facing challenges due to the rise of decentralized finance (DeFi) in the market. Decentralization improves business processes and spurs product innovation through increased transparency and removing intermediaries. A taxonomy created through a literature review outlines the four dimensions of these advancements: key drivers, products, benefits, and emerging threats. Proposed solutions are also included to tackle the threats. Copyright: © 2023 Alamsyah A and Syahrir S.","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Study identification of landscape elements in the Bandung Ganesha garden environment,"[{""Penulis"":""Cardiah, Tita""},{""Penulis"":""Andiyan""},{""Penulis"":""Rangkuti, Syahban""},{""Penulis"":""Firmansyah, Eliyana""}]","The development of parks in the city of Bandung, especially the northern part, has related to the history of the town of Bandung during the Dutch colonial period. Ijzermanpark (1919) is a park with the best landscape design, with a neat and colorful flower garden design equipped with a fountain garden feature. It changed its name to Ganesha Park after Indonesian independence day. Ganesha Park has continued as a public park that is used for family recreation. The landscape elements in Ganesha Park are also equipped to support this park. This study aims to determine how completely it was developed and how it influenced its function as a public park. The research method using the descriptive qualitative method by identifying and analyzing the phenomena described in the details. From this research, it was found that some elements of the Ganesha Park landscape were preserved, some had been replaced, and some were completely new. These elements become a unitary landscape which is expected to increase the comfort of activities in Ganesha Park.  © 2023 Author(s).","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Pre-study on the distribution of thermal comfort in naturally ventilated classrooms at the Tokong Nanas lecture building on the Telkom University,"[{""Penulis"":""Ichwania, Chalila""},{""Penulis"":""Djunaedy, Ery""},{""Penulis"":""Sujatmiko, Wahyu""},{""Penulis"":""Utami, Amaliyah Rohsari Indah""}]","Thermal comfort is an essential factor in designing and evaluating low-energy buildings. Low energy buildings do not require much indoor temperature conditioning but rather multiply natural ventilation. Natural ventilation is more suitable to be applied to tropical climatic regions. Tropical climates have relatively stable temperature differences and predictable wind speed profiles at any time of the season. However, naturally ventilated buildings have a varying level of thermal comfort throughout the room. This research aims to obtain a profile of the distribution of the level of thermal comfort of naturally ventilated classrooms located on the campus of Telkom University, namely the Tokong Nanas lecture hall. It also produced simulation methods to calculate the distribution of thermal comfort index in naturally ventilated rooms. In this study, the floors to be observed were the 2nd and 5th floors. For this purpose, the first simulation of the natural ventilated classroom geometry model contained in the lecture hall Of Pineapple Temple using rhino6, Energyplus, and OpenFoam software. The geometry simulation result was Prediction Mean Vote (PMV) index by following ISO 7730. Simulation data showed that classrooms on the 2nd floor were more comfortable when compared with classrooms on the 5th floor. Furthermore, the results of the simulation method of this study suggested contributions in designing naturally ventilated spaces before the building construction process began.  © 2023 Author(s).","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Hand Gesture Recognition Using FMCW Radar and Deep Learning for Understanding Deaf Sign Language,"[{""Penulis"":""Wibisono, Bagas""},{""Penulis"":""Suratman, Fiky Y.""},{""Penulis"":""Istiqomah""}]","People have difficulty in understanding sign language of deaf people therefore a technology is needed to translate sign language to help deaf people. In Indonesia, society lacks fluency in national sign languages like Indonesian Sign Language (SIBI), which can affect their self-confidence and social interaction skills with others. Previous studies generally used a camera in dataset retrieval in sign language recognition. There is a weakness in using the camera because it has to pay attention to environmental conditions, such as being influenced by light intensity. Radar can correct this deficiency because it uses electromagnetic waves. In this study proposed, the use of uRAD radar by Antheral based on radar Frequency Modulated Continuous Wave (FMCW) to detect and then collect words of SIBI for raw data that is IQ signals. The proposed technique applies the preprocessing methods for the frequency-domain IQ signals of radar echoes as input to a convolutional neural network (CNN). The system designed is able to classify five words of Indonesian Sign Language into five classes. Thereafter compare three self-constructed architectures to find the best model with differences in the number of convolution and pooling layers in each architecture. The results of the proposed architectural classification show the movement classification accuracy exceeds more than 98%. This study has high accuracy because of the proposed preprocessing method and compares several CNN architectures whose accuracy is higher than previous studies which also used radar. Based on the results, the proposed system can be helpful in understanding deaf sign language with SIBI. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Improvement of Assembly Manufacturing Process through Value Stream Mapping and Ranked Positional Weight: An Empirical Evidence from the Defense Industry,"[{""Penulis"":""Achmadi, Fandi""},{""Penulis"":""Harsanto, Budi""},{""Penulis"":""Yunani, Akhmad""}]","This study aims to improve the assembly manufacturing process to solve the workload imbalances by combining value stream mapping (VSM) and ranked positional weight (RPW). An empirical study was conducted in a defense manufacturing firm located in Indonesia. The study specifically focused on 155 components and 56 tasks distributed among 43 assembly workstations in one weapon product. The results of the analysis showed a significant reduction in the total cycle time, from 5121 s (85.35 min) to 3620 s (60.33 min), or a decrease of 29%. Additionally, the study found improvements in the balance of the assembly line as measured by balance delay, line efficiency, and smoothness index performance indicators. The application of VSM and RPW in this study is unique in the context of the defense industry, as it provides empirical analysis on cycle time and assembly line balance, which is rarely studied. The results of this study contribute to the advancement of literature in the field and provide valuable insights for other organizations in the defense industry and other manufacturing industries. By improving the efficiency and balance of the weapon assembly line, this study has the potential to increase productivity and reduce waste. © 2023 by the authors.","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
Open Innovation in Cleaner Production of Indonesian Traditional Batik SMEs: A Causal Loop Analysis Perspective,"[{""Penulis"":""Rumanti, Augustina Asih""},{""Penulis"":""Prambudia, Yudha""},{""Penulis"":""Pulungan, Muhammad Almaududi""},{""Penulis"":""Achmad, Fandi""}]","Collective contribution of Small and Medium Enterprises (SMEs) to economic growth is evident in many countries worldwide. On the other hand, however, it contributes also to environmental burdens the world already suffered today. This paper suggests that sustainable SMEs growth is attainable through Open Innovation (OI) concept. A model is developed with the aim to evaluate the role of OI in reducing SMEs environmental impact. The model development is conducted in two stages; first is identification of relevant variables. This is done by reviewing relevant OI models and select variables based on statistical characteristics; second is building logical relationships between the variables based on interviews and literature reviews. The development is iterative so each iteration can bring new information and update the model. Final model is presented in a causal loop diagram (CLD) and discussed.  © 2023 The authors and IOS Press.","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
"Analysis of fiscal decentralisation, human development, and regional economic growth in indonesia","[{""Penulis"":""Sofilda, Eleonora""},{""Penulis"":""Zilal Hamzah, Muhammad""},{""Penulis"":""Kusairi, Suhal""}]","In Indonesia, fiscal decentralisation has been implemented for two decades, and it is expected that the regions will have a sufficient level of independence to increase economic growth and welfare. This study investigates the influence of fiscal decentralisation and human development on regional economic growth. The sample data comprised 484 county-level in Indonesia and utilised the panel data method. The findings showed that the central government grant, locally generated revenue, and human capital development positively influenced regional economic growth, although the degree of decentralisation negatively affected regional growth. Meanwhile, for regions with independence above 50 per cent, decentralisation, locally generated revenue, central government transfer and provincial loans and human capital development positively influenced regional economic growth. In addition, findings also indicated that a dynamic effect exists, implying that the performance of previous regional economic growth influenced current economic achievements. The policy implication of the study is that policymakers cannot equalise policy to boost regional economic growth because every county has its specific characteristics. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Measuring levels of user's acceptance in adopting the SAKPOLE as an e-Samsat service using UTAUT2,"[{""Penulis"":""Adi Nugraha, Khrisna""},{""Penulis"":""Yasirandi, Rahmat""},{""Penulis"":""Utomo, Rio Guntur""}]","Increasing public services to the community is currently intensively carried out with the existence of e-Government. One of e-Government products in Indonesia is the SAKPOLE e-Samsat service. SAKPOLE e-Samsat service is an online service designed to facilitate the taxpayer in paying his motor vehicle tax accountability. The entire administrative area of Central Java can use this service, which one of them is the Karanganyar Regency. The success rate of implementing this technology influence by the readiness of its users to accept and use the technology. The purpose of this study was to determine the factors that influence behavioral intention to use the SAKPOLE e-Samsat service in Karanganyar Regency. This study used 104 respondents who will be analyzed using the variables in the Unified Theory of Acceptance and Use of Technology 2 (UTAUT2) modified model. From this study, we found that Facilitating Condition, Performance Expectancy and Public Value had a significant positive effect on behavioral intention to use the SAKPOLE e-Samsat service, with Public Value is the most significant factor. It can conclude that the views of the people of Karanganyar Regency towards service providers have succeeded in increasing their capacity because of the usefulness of these services.  © 2023 Author(s).","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
The different roles of innovation intermediaries to generate value,"[{""Penulis"":""Noviaristanti, Siska""},{""Penulis"":""Acur, Nuran""},{""Penulis"":""Mendibil, Kepa""}]","The development of innovation management practices toward openness, societalgrand challenges and emerging technologies have changed the roles and supportingactivities of innovation intermediaries. Innovation intermediaries are considered to beorganizations that generate value to other institutions or societies within an innovationsystem. Despite the growth of innovation intermediary research in recent years, thereis still a lack of clarity about the different roles that intermediaries can play and the wayin which they generate value to the other institutions, industry and/or society. Thispaper reviews current research to identify contemporary roles of innovationintermediaries and explore the mechanisms they use to generate value. Through theuse of bibliographic coupling the paper presents a robust analysis of the intellectualstreams and key concepts underpinning innovation intermediary research. The papermakes a contribution to the ongoing debate by proposing a framework that explains thedifferent roles of innovation intermediaries (knowledge broker, knowledge transferenabler, orchestrator, and value generator) and the functions embedded within theroles at different levels of analysis, i.e., firm, industry, and national. The paperconcludes by discussing the theoretical and practical implications of the framework anddetails key areas for future research. © 2023, Crown.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Women entrepreneurship in the internationalization of SMEs: a bibliometric analysis for future research directions,"[{""Penulis"":""Anggadwita, Grisna""},{""Penulis"":""Indarti, Nurul""}]","Purpose: This study aims to systematically review papers on women’s entrepreneurship in the internationalization of small and medium enterprises (SMEs) by examining the research profile (i.e. publication trends, publishers, domain and quality of journals, methodologies and units of analysis and regional classifications), internationalization entry modes and the theories underpinning, key variables using AMO framework (i.e. antecedents, mediators, moderators and outcomes) and suggestions for potential future studies. Design/methodology/approach: This study used bibliometric analysis by selecting 62 relevant papers from 3,016 papers collected from the Web of Science, Scopus, Google Scholar and EBSCO databases. Content analysis was conducted to identify key research issues and gaps, which were then mapped on an AMO framework to address potential future research. Findings: This study found that the number of papers published during the period 1994–September 2022 fluctuated, indicating an increasing trend of women’s entrepreneurship research in the internationalization of SMEs being published in various reputable journals by well-known publishers. This study also found several alternatives of internationalization entry modes, although export is still the most widely used alternative. Various theories that underlie this research include internationalization theory, resource-based theory, feminist theory and international entrepreneurship. This study proposes a future research framework on women’s entrepreneurship in the internationalization of SMEs: AMO. Originality/value: This study contributes to the intersection of gender-focused international business and entrepreneurship domains. This study proposes a conceptual model of women’s entrepreneurship in internationalization of SMEs by mapping the antecedents, mediators/moderators and outcomes and offers promising opportunities for future research directions. © 2023, Emerald Publishing Limited.","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
